# minichess opening book export
# format_version	1
# store	book
# db_schema_version	2
# eval_version	1
# rows	92678
# sorted by (fen, rank); no timestamp, so an unchanged book re-exports identically
# fen	ply	rank	move	score	depth	eval_version
2b2k/5p/6/3Nr1/Pn4/KB4[r] b	7	1	((4, 1), (3, 3), None)	-1000000	9	1
2b2k/5p/6/3Nr1/PnB3/1K4[r] b	7	1	((4, 1), (3, 3), None)	-1000000	9	1
2b2k/5p/6/3R1B/P5/K1N1r1[N] w	10	1	((3, 3), (0, 3), None)	2902	10	1
2b2k/5p/6/3R1N/P3r1/K5[nb] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	7	1
2b2k/5p/6/3R1n/P3r1/K1NB2[] w	8	1	((5, 2), (4, 4), None)	1000000	9	1
2b2k/5p/6/3R1n/P5/K1NBr1[] w	8	1	((5, 0), (4, 1), None)	333	10	1
2b2k/5p/6/3R1n/PK2B1/2N1r1[] w	12	1	((3, 3), (0, 3), None)	1249	10	1
2b2k/5p/6/3R1n/PK2B1/2N2r[] b	11	1	((5, 5), (5, 2), None)	646	6	1
2b2k/5p/6/3R1n/PK2B1/2N2r[] b	11	2	((0, 2), (2, 4), None)	928	6	1
2b2k/5p/6/3R1n/PK2B1/2N2r[] b	11	3	((0, 2), (1, 1), None)	928	6	1
2b2k/5p/6/3R1n/PK2B1/2N2r[] b	11	4	((5, 5), (4, 5), None)	1009	6	1
2b2k/5p/6/3R1n/PK2B1/2N2r[] b	11	5	((3, 5), (5, 4), None)	1108	6	1
2b2k/5p/6/3R1n/PK2B1/2N2r[] b	11	6	((5, 5), (5, 4), None)	1111	6	1
2b2k/5p/6/3R1n/PK2B1/2r3[n] w	12	1	((4, 1), (5, 2), None)	767	10	1
2b2k/5p/6/3R1n/PK2Br/2N3[] w	12	1	((3, 3), (0, 3), None)	1031	10	1
2b2k/5p/6/3R1n/PK4/2NB1r[] w	10	1	((5, 3), (4, 4), None)	736	10	1
2b2k/5p/6/3R1n/PK4/2NBr1[] b	9	1	((0, 2), (2, 4), None)	140	6	1
2b2k/5p/6/3R1n/PK4/2NBr1[] b	9	2	((0, 2), (1, 1), None)	243	6	1
2b2k/5p/6/3R1n/PK4/2NBr1[] b	9	3	((5, 4), (5, 5), None)	311	6	1
2b2k/5p/6/3R1n/PK4/2NBr1[] b	9	4	((5, 4), (5, 3), None)	487	6	1
2b2k/5p/6/3R1n/PK4/2NBr1[] b	9	5	((0, 5), (0, 4), None)	771	6	1
2b2k/5p/6/3R1n/PK4/2NBr1[] b	9	6	((5, 4), (2, 4), None)	885	6	1
2b2k/5p/6/3R1n/PK4/2Nr2[b] w	10	1	((3, 3), (5, 3), None)	746	10	1
2b2k/5p/6/3R2/3pB1/K1N1r1[N] b	9	1	((4, 3), (5, 2), 'r')	-2142	10	1
2b2k/5p/6/3R2/P1N1r1/K5[nb] b	9	1	('drop', 'bB'  , (1, 4))	-1000000	9	1
2b2k/5p/6/3R2/P2Nr1/K5[nb] b	9	1	('drop', 'bB'  , (1, 4))	-1000000	5	1
2b2k/5p/6/3R2/P2rN1/K5[Nb] b	11	1	((4, 3), (3, 3), None)	-3454	10	1
2b2k/5p/6/3R2/P2rn1/K1N3[b] w	10	1	((3, 3), (4, 3), None)	-94	6	1
2b2k/5p/6/3R2/P2rn1/K1N3[b] w	10	2	((5, 2), (4, 4), None)	-1577	6	1
2b2k/5p/6/3R2/P2rn1/K1N3[b] w	10	3	((4, 0), (3, 0), None)	-2336	6	1
2b2k/5p/6/3R2/P2rn1/K1N3[b] w	10	4	((3, 3), (0, 3), None)	-2350	6	1
2b2k/5p/6/3R2/P2rn1/K1N3[b] w	10	5	((5, 2), (3, 1), None)	-2728	6	1
2b2k/5p/6/3R2/P2rn1/K1N3[b] w	10	6	((3, 3), (3, 1), None)	-2947	6	1
2b2k/5p/6/3R2/P3r1/1K4[Nnb] b	9	1	('drop', 'bB'  , (2, 4))	-1000000	9	1
2b2k/5p/6/3R2/P3r1/K1N3[nb] b	9	1	('drop', 'bB'  , (1, 4))	-1000000	3	1
2b2k/5p/6/3R2/P3r1/K2N2[nb] b	9	1	('drop', 'bB'  , (1, 4))	-1000000	10	1
2b2k/5p/6/3R2/P3r1/K3N1[nb] b	9	1	((0, 2), (2, 4), None)	-1000000	8	1
2b2k/5p/6/3R2/P3r1/K4N[nb] b	9	1	('drop', 'bB'  , (1, 4))	-1000000	6	1
2b2k/5p/6/3R2/P3r1/KN4[nb] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	1	1
2b2k/5p/6/3R2/P3rN/K5[nb] b	9	1	((4, 4), (4, 5), None)	-1000000	9	1
2b2k/5p/6/3R2/P5/K2Br1[Nn] b	11	1	((0, 2), (2, 0), None)	-345	10	1
2b2k/5p/6/3R2/PK2B1/2N1nr[] w	12	1	((4, 4), (5, 5), None)	1301	10	1
2b2k/5p/6/3R2/PN2r1/K5[nb] b	9	1	('drop', 'bB'  , (1, 4))	-1000000	8	1
2b2k/5p/6/3RN1/P3r1/K5[nb] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	10	1
2b2k/5p/6/3Rrn/P5/K1NB2[] w	8	1	((3, 3), (3, 4), None)	4129	10	1
2b2k/5p/6/3n2/P1BK2/1R2r1[n] b	9	1	((5, 4), (5, 1), None)	-1122	10	1
2b2k/5p/6/3n2/P1BK2/1r4[nr] w	10	1	((4, 2), (5, 1), None)	-980	6	1
2b2k/5p/6/3n2/P1BK2/1r4[nr] w	10	2	((4, 2), (3, 3), None)	-2334	6	1
2b2k/5p/6/3n2/P1BK2/1r4[nr] w	10	3	((4, 3), (3, 3), None)	-2390	6	1
2b2k/5p/6/3n2/P1BK2/1r4[nr] w	10	4	((4, 0), (3, 0), None)	-2524	6	1
2b2k/5p/6/3n2/P1BK2/1r4[nr] w	10	5	((4, 3), (3, 2), None)	-2649	6	1
2b2k/5p/6/3n2/P1BK2/1r4[nr] w	10	6	((4, 2), (5, 3), None)	-3435	6	1
2b2k/5p/6/3n2/P2K2/1B4[Rnr] b	11	1	((3, 3), (1, 4), None)	-1239	10	1
2b2k/5p/6/3n2/P2K2/1r1B2[nr] b	11	1	((5, 1), (4, 1), None)	-1000000	6	1
2b2k/5p/6/3n2/PKR3/6[NRb] w	12	1	((4, 1), (3, 2), None)	952	10	1
2b2k/5p/6/3nK1/P1B3/1r4[nr] b	11	1	('drop', 'bR'  , (3, 5))	-1000000	5	1
2b2k/5p/6/3nr1/P1B3/K2R2[n] b	11	1	((3, 3), (2, 1), None)	-1077	10	1
2b2k/5p/6/3nr1/P1B3/K4R[n] b	11	1	((0, 2), (1, 3), None)	-1155	10	1
2b2k/5p/6/3nr1/P1B3/KR4[n] b	11	1	((0, 2), (1, 3), None)	-1128	10	1
2b2k/5p/6/3nr1/P1B3/KR4[n] w	10	1	((5, 1), (5, 5), None)	-631	6	1
2b2k/5p/6/3nr1/P1B3/KR4[n] w	10	2	((5, 1), (0, 1), None)	-829	6	1
2b2k/5p/6/3nr1/P1B3/KR4[n] w	10	3	((5, 1), (5, 3), None)	-889	6	1
2b2k/5p/6/3nr1/P1B3/KR4[n] w	10	4	((5, 1), (3, 1), None)	-933	6	1
2b2k/5p/6/3nr1/P1B3/KR4[n] w	10	5	((4, 2), (5, 3), None)	-947	6	1
2b2k/5p/6/3nr1/P1B3/KR4[n] w	10	6	((4, 0), (3, 0), None)	-1253	6	1
2b2k/5p/6/3nr1/P1K3/R1N3[b] b	11	1	((3, 3), (2, 1), None)	-2435	10	1
2b2k/5p/6/3nr1/P2K2/R1N3[b] b	11	1	((3, 3), (5, 2), None)	-1077	10	1
2b2k/5p/6/3nr1/P5/KR1B2[n] b	11	1	((0, 2), (1, 3), None)	-1600	10	1
2b2k/5p/6/3r2/P5/KR1B2[Nn] b	7	1	((0, 2), (1, 3), None)	-89	10	1
2b2k/5p/6/3r2/PR1n2/K2B2[n] b	9	1	((4, 3), (2, 2), None)	-1427	10	1
2b2k/5p/6/3r2/PR4/K2B2[Nn] b	7	1	((3, 3), (5, 3), None)	-1000000	6	1
2b2k/5p/6/3r2/PRBn2/K5[n] b	9	1	((3, 3), (3, 4), None)	-1202	10	1
2b2k/5p/6/4N1/P1r3/1KN3[br] b	11	1	('drop', 'bR'  , (4, 1))	-1000000	8	1
2b2k/5p/6/4N1/P3r1/K1N3[br] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
2b2k/5p/6/4N1/PR4/K2Br1[n] b	11	1	((5, 4), (3, 4), None)	-1344	10	1
2b2k/5p/6/4R1/3pB1/K1N1r1[N] b	9	1	((4, 3), (5, 2), 'n')	-1920	10	1
2b2k/5p/6/4R1/P3r1/K5[Nnb] b	9	1	((4, 4), (3, 4), None)	-1000000	7	1
2b2k/5p/6/4n1/PK2B1/1RN1r1[] b	11	1	((0, 2), (2, 4), None)	-710	10	1
2b2k/5p/6/4n1/PKB3/1RN1r1[] w	10	1	((4, 2), (3, 3), None)	-164	6	1
2b2k/5p/6/4n1/PKB3/1RN1r1[] w	10	2	((4, 2), (3, 1), None)	-284	6	1
2b2k/5p/6/4n1/PKB3/1RN1r1[] w	10	3	((5, 1), (5, 0), None)	-450	6	1
2b2k/5p/6/4n1/PKB3/1RN1r1[] w	10	4	((4, 0), (3, 0), None)	-459	6	1
2b2k/5p/6/4n1/PKB3/1RN1r1[] w	10	5	((5, 2), (3, 1), None)	-495	6	1
2b2k/5p/6/4n1/PKB3/1RN1r1[] w	10	6	((4, 2), (1, 5), None)	-618	6	1
2b2k/5p/6/4n1/PKB3/R1N1r1[] b	11	1	((3, 4), (4, 2), None)	-789	10	1
2b2k/5p/6/4r1/2N3/K2R2[Npb] b	11	1	('drop', 'bB'  , (1, 4))	-1279	10	1
2b2k/5p/6/4r1/P1B2N/Kn4[r] b	9	1	((5, 1), (3, 0), None)	-1000000	9	1
2b2k/5p/6/4r1/P1B2n/1RK3[n] b	9	1	('drop', 'bN'  , (2, 2))	-2975	10	1
2b2k/5p/6/4r1/P1B2n/KR4[n] b	9	1	((3, 4), (4, 4), None)	-1543	10	1
2b2k/5p/6/4r1/P1B3/Kn2N1[r] b	9	1	((5, 1), (3, 0), None)	-1000000	9	1
2b2k/5p/6/4r1/P1B3/KnN3[r] b	9	1	((5, 1), (3, 0), None)	-3067	10	1
2b2k/5p/6/4r1/P1K2N/1R4[Nb] b	9	1	((3, 4), (4, 4), None)	-1733	10	1
2b2k/5p/6/4r1/P1N2N/KB3r[] b	11	1	((3, 4), (4, 4), None)	-2827	10	1
2b2k/5p/6/4r1/P1N3/K1R3[Nb] b	9	1	((3, 4), (3, 2), None)	-489	10	1
2b2k/5p/6/4r1/P1N3/K2R2[Nb] b	9	1	((3, 4), (0, 4), None)	-227	10	1
2b2k/5p/6/4r1/P1N3/K4R[Nb] b	9	1	((3, 4), (1, 4), None)	-195	10	1
2b2k/5p/6/4r1/P1N3/KBNr2[] b	11	1	((3, 4), (3, 5), None)	-1036	10	1
2b2k/5p/6/4r1/P1N3/KR4[Nb] b	11	1	('drop', 'bB'  , (3, 2))	-814	10	1
2b2k/5p/6/4r1/P1N3/Kn1B2[r] b	9	1	((5, 1), (3, 2), None)	-1000000	8	1
2b2k/5p/6/4r1/P1R2N/K5[Nb] b	9	1	('drop', 'bB'  , (2, 3))	-484	10	1
2b2k/5p/6/4r1/P1n2N/1RK3[b] b	9	1	((4, 2), (3, 0), None)	-2390	10	1
2b2k/5p/6/4r1/P2R2/K1NB2[N] w	8	1	((4, 3), (0, 3), None)	1679	10	1
2b2k/5p/6/4r1/P2R2/K1NBn1[] w	10	1	((4, 3), (0, 3), None)	585	10	1
2b2k/5p/6/4r1/P3B1/KnN3[r] b	9	1	((5, 1), (3, 0), None)	-1000000	6	1
2b2k/5p/6/4r1/P3BN/Kn4[r] b	9	1	((5, 1), (3, 0), None)	-1000000	6	1
2b2k/5p/6/4r1/P3Bn/KR4[n] b	9	1	((3, 4), (4, 4), None)	-1000000	7	1
2b2k/5p/6/4r1/P3N1/Kn1B2[r] b	9	1	((5, 1), (3, 0), None)	-1000000	8	1
2b2k/5p/6/4r1/P4N/KB1N1r[] b	11	1	((3, 4), (5, 4), None)	-1031	10	1
2b2k/5p/6/4r1/P4N/KB3r[N] w	10	1	('drop', 'wN'  , (5, 3))	-726	6	1
2b2k/5p/6/4r1/P4N/KB3r[N] w	10	2	('drop', 'wN'  , (4, 1))	-883	6	1
2b2k/5p/6/4r1/P4N/KB3r[N] w	10	3	('drop', 'wN'  , (4, 2))	-918	6	1
2b2k/5p/6/4r1/P4N/KB3r[N] w	10	4	('drop', 'wN'  , (0, 3))	-942	6	1
2b2k/5p/6/4r1/P4N/KB3r[N] w	10	5	('drop', 'wN'  , (3, 3))	-951	6	1
2b2k/5p/6/4r1/P4N/KB3r[N] w	10	6	('drop', 'wN'  , (0, 0))	-1331	6	1
2b2k/5p/6/4r1/P4N/KB4[Nr] b	9	1	('drop', 'bR'  , (5, 5))	-962	10	1
2b2k/5p/6/4r1/P4N/Kn1B2[r] b	9	1	((5, 1), (3, 0), None)	-1000000	6	1
2b2k/5p/6/4r1/P4N/Kn3B[r] b	9	1	((5, 1), (3, 0), None)	-1000000	6	1
2b2k/5p/6/4r1/P4n/K1RB2[n] b	9	1	((0, 2), (1, 3), None)	-1672	10	1
2b2k/5p/6/4r1/P5/1KNB2[Nr] b	9	1	((0, 2), (2, 4), None)	-881	10	1
2b2k/5p/6/4r1/P5/KBN3[Nr] b	9	1	('drop', 'bR'  , (5, 3))	-786	10	1
2b2k/5p/6/4r1/P5/KBNr2[N] w	10	1	((5, 0), (4, 1), None)	-642	6	1
2b2k/5p/6/4r1/P5/KBNr2[N] w	10	2	('drop', 'wN'  , (4, 2))	-729	6	1
2b2k/5p/6/4r1/P5/KBNr2[N] w	10	3	('drop', 'wN'  , (3, 1))	-935	6	1
2b2k/5p/6/4r1/P5/KBNr2[N] w	10	4	('drop', 'wN'  , (2, 1))	-970	6	1
2b2k/5p/6/4r1/P5/KBNr2[N] w	10	5	('drop', 'wN'  , (1, 0))	-970	6	1
2b2k/5p/6/4r1/P5/KBNr2[N] w	10	6	((5, 2), (3, 1), None)	-1001	6	1
2b2k/5p/6/4r1/P5/KnN2B[r] b	9	1	((5, 1), (3, 0), None)	-1000000	6	1
2b2k/5p/6/4r1/P5/KnNB2[r] b	9	1	((5, 1), (3, 0), None)	-1000000	9	1
2b2k/5p/6/4r1/PK1R2/2NB2[N] w	10	1	((5, 3), (3, 1), None)	1679	10	1
2b2k/5p/6/4r1/PK3n/1R1B2[n] b	9	1	((0, 2), (2, 4), None)	-2425	10	1
2b2k/5p/6/4r1/PK4/1BNr2[N] b	11	1	((5, 3), (4, 3), None)	-856	10	1
2b2k/5p/6/4r1/PK4/1R1B2[Nn] b	9	1	((0, 2), (2, 4), None)	-410	10	1
2b2k/5p/6/4r1/PK4/1nNB2[r] b	9	1	((0, 2), (2, 4), None)	-999999	10	1
2b2k/5p/6/4r1/PKB2n/2R3[n] b	9	1	((0, 2), (1, 3), None)	-1751	10	1
2b2k/5p/6/4r1/PKB2n/3R2[n] b	9	1	((4, 5), (5, 3), None)	-1000000	10	1
2b2k/5p/6/4r1/PKB2n/4R1[n] b	9	1	('drop', 'bN'  , (2, 2))	-1000000	7	1
2b2k/5p/6/4r1/PKB2n/5R[n] b	9	1	((3, 4), (4, 4), None)	-1694	10	1
2b2k/5p/6/4r1/PKB2n/R5[n] b	9	1	('drop', 'bN'  , (2, 2))	-1000000	10	1
2b2k/5p/6/4r1/PKN3/1R4[Nb] b	9	1	((3, 4), (4, 4), None)	-341	10	1
2b2k/5p/6/4r1/PKn2N/1R4[b] b	11	1	((3, 4), (4, 4), None)	-2126	10	1
2b2k/5p/6/4r1/PKn2N/2R3[b] b	9	1	((4, 2), (2, 1), None)	-2105	10	1
2b2k/5p/6/4r1/PKn2N/3R2[b] b	9	1	((4, 2), (2, 1), None)	-1832	10	1
2b2k/5p/6/4r1/PKn2N/4R1[b] b	9	1	((4, 2), (5, 4), None)	-1000000	6	1
2b2k/5p/6/4r1/PKn2N/5R[b] b	9	1	((3, 4), (4, 4), None)	-2302	10	1
2b2k/5p/6/4r1/PKn2N/R5[b] b	9	1	((4, 2), (5, 0), None)	-1000000	7	1
2b2k/5p/6/4r1/PKn3/1R1N2[b] b	9	1	((3, 4), (4, 4), None)	-1329	10	1
2b2k/5p/6/4r1/PKn3/2R1N1[b] b	9	1	((4, 2), (2, 3), None)	-2002	10	1
2b2k/5p/6/4r1/PN2B1/Kn4[r] b	9	1	((5, 1), (4, 3), None)	-1000000	4	1
2b2k/5p/6/4r1/PN3N/KB3r[] b	11	1	((3, 4), (5, 4), None)	-1245	10	1
2b2k/5p/6/4r1/PN4/KB3r[N] b	11	1	((0, 2), (1, 3), None)	-902	10	1
2b2k/5p/6/4r1/PN4/KB4[Nr] b	9	1	((0, 2), (1, 3), None)	-785	10	1
2b2k/5p/6/4r1/PN4/Kn3B[r] b	9	1	((5, 1), (4, 3), None)	-1000000	4	1
2b2k/5p/6/4r1/PNB3/K5[Nr] b	7	1	((3, 4), (5, 4), None)	-1338	10	1
2b2k/5p/6/4r1/PNB3/Kn4[r] b	9	1	((5, 1), (3, 0), None)	-1000000	9	1
2b2k/5p/6/4r1/PNn3/1K1R2[b] b	9	1	((4, 2), (2, 1), None)	-1656	10	1
2b2k/5p/6/4r1/PR3n/K2B2[n] b	9	1	((4, 5), (5, 3), None)	-1000000	9	1
2b2k/5p/6/4r1/PR4/K1NB2[N] w	6	1	((4, 1), (0, 1), None)	1677	10	1
2b2k/5p/6/4r1/PR4/K2B2[Nn] b	9	1	((3, 4), (5, 4), None)	-304	10	1
2b2k/5p/6/4r1/PRn2N/1K4[b] b	9	1	((4, 2), (3, 0), None)	-2457	10	1
2b2k/5p/6/4r1/Pn2B1/KR4[n] b	9	1	((3, 4), (4, 4), None)	-1000000	9	1
2b2k/5p/6/4r1/Pn4/K1RB2[n] b	9	1	((0, 2), (1, 3), None)	-1089	10	1
2b2k/5p/6/4r1/PnB2N/K5[r] b	7	1	((4, 1), (2, 2), None)	-1000000	10	1
2b2k/5p/6/4r1/PnB3/K1N3[r] b	7	1	((4, 1), (2, 2), None)	-1000000	10	1
2b2k/5p/6/4r1/PnB3/K3N1[r] b	7	1	((4, 1), (2, 2), None)	-1000000	8	1
2b2k/5p/6/4r1/PnB3/KR4[n] b	9	1	((4, 1), (3, 3), None)	-949	10	1
2b2k/5p/6/4rB/P4n/KR4[n] b	9	1	((3, 4), (3, 5), None)	-1000000	9	1
2b2k/5p/6/4rB/P5/KnN3[r] b	9	1	((5, 1), (3, 0), None)	-1000000	5	1
2b2k/5p/6/4rB/Pn4/KR4[n] b	9	1	((0, 2), (3, 5), None)	-3559	10	1
2b2k/5p/6/4rn/PKB3/1RN3[] b	11	1	((0, 2), (2, 4), None)	-323	10	1
2b2k/5p/6/5B/Pn4/KR2r1[n] b	9	1	((5, 4), (5, 1), None)	-2244	10	1
2b2k/5p/6/5N/P2R2/K1NBr1[] w	10	1	((3, 5), (5, 4), None)	1000000	9	1
2b2k/5p/6/5N/P3r1/K1N3[br] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
2b2k/5p/6/5R/3pB1/K1N1r1[N] b	9	1	((4, 3), (5, 2), 'r')	-3421	10	1
2b2k/5p/6/5R/P3r1/K5[Nnb] b	9	1	((0, 2), (3, 5), None)	-1000000	4	1
2b2k/5p/6/5n/PK4/2NR2[Rb] b	11	1	('drop', 'bB'  , (1, 4))	540	6	1
2b2k/5p/6/5n/PK4/2NR2[Rb] b	11	2	('drop', 'bB'  , (2, 3))	554	6	1
2b2k/5p/6/5n/PK4/2NR2[Rb] b	11	3	((0, 2), (2, 4), None)	597	6	1
2b2k/5p/6/5n/PK4/2NR2[Rb] b	11	4	('drop', 'bB'  , (2, 4))	677	6	1
2b2k/5p/6/5n/PK4/2NR2[Rb] b	11	5	('drop', 'bB'  , (2, 5))	699	6	1
2b2k/5p/6/5n/PK4/2NR2[Rb] b	11	6	((0, 5), (1, 4), None)	755	6	1
2b2k/5p/6/6/5N/Kn4[Rpbr] b	11	1	((5, 1), (3, 2), None)	-2572	10	1
2b2k/5p/6/6/BK4/1Rr~1r1[Nn] b	11	1	('drop', 'bN'  , (2, 0))	-3088	10	1
2b2k/5p/6/6/P1B3/1KN1r1[Nr] b	9	1	('drop', 'bR'  , (5, 5))	-771	10	1
2b2k/5p/6/6/P1B3/1KN1r1[Nr] w	10	1	((4, 2), (1, 5), None)	-390	6	1
2b2k/5p/6/6/P1B3/1KN1r1[Nr] w	10	2	((5, 1), (4, 1), None)	-486	6	1
2b2k/5p/6/6/P1B3/1KN1r1[Nr] w	10	3	('drop', 'wN'  , (3, 3))	-610	6	1
2b2k/5p/6/6/P1B3/1KN1r1[Nr] w	10	4	((4, 0), (3, 0), None)	-809	6	1
2b2k/5p/6/6/P1B3/1KN1r1[Nr] w	10	5	((4, 2), (3, 3), None)	-884	6	1
2b2k/5p/6/6/P1B3/1KN1r1[Nr] w	10	6	('drop', 'wN'  , (3, 2))	-894	6	1
2b2k/5p/6/6/P1B3/1KN1rr[N] w	10	1	('drop', 'wN'  , (3, 3))	-597	6	1
2b2k/5p/6/6/P1B3/1KN1rr[N] w	10	2	('drop', 'wN'  , (3, 1))	-740	6	1
2b2k/5p/6/6/P1B3/1KN1rr[N] w	10	3	((5, 1), (5, 0), None)	-1019	6	1
2b2k/5p/6/6/P1B3/1KN1rr[N] w	10	4	((5, 1), (4, 1), None)	-1174	6	1
2b2k/5p/6/6/P1B3/1KN1rr[N] w	10	5	((4, 0), (3, 0), None)	-1174	6	1
2b2k/5p/6/6/P1B3/1KN1rr[N] w	10	6	((4, 2), (1, 5), None)	-1181	6	1
2b2k/5p/6/6/P1B3/1KNNrr[] b	11	1	((5, 4), (5, 3), None)	-1639	10	1
2b2k/5p/6/6/P1B3/K1N1r1[Nr] b	9	1	((5, 4), (5, 2), None)	-1841	10	1
2b2k/5p/6/6/P1B3/K1N1rr[N] b	11	1	((5, 4), (5, 2), None)	-1979	10	1
2b2k/5p/6/6/P1B3/KN2r1[Nr] b	11	1	('drop', 'bR'  , (5, 2))	-860	10	1
2b2k/5p/6/6/P1B3/KnN1r1[r] b	9	1	((5, 4), (5, 2), None)	-3845	10	1
2b2k/5p/6/6/P1BK2/2N2r[Nr] b	11	1	((5, 5), (4, 5), None)	-1055	10	1
2b2k/5p/6/6/P1BK2/4n1[Rnr] b	11	1	('drop', 'bN'  , (3, 5))	-1690	10	1
2b2k/5p/6/6/P1Br2/1KN3[Nr] b	11	1	((0, 2), (1, 3), None)	-999	10	1
2b2k/5p/6/6/P1K3/2NN2[Rbr] b	11	1	((0, 2), (2, 4), None)	-873	10	1
2b2k/5p/6/6/P1KN1r/3Br1[N] b	11	1	((0, 2), (2, 0), None)	-1262	10	1
2b2k/5p/6/6/P1KNr1/1R4[Nb] b	11	1	('drop', 'bB'  , (3, 4))	-1007	10	1
2b2k/5p/6/6/P1N1r1/K1N3[br] b	9	1	('drop', 'bB'  , (3, 2))	-1000000	3	1
2b2k/5p/6/6/P1N3/KR2r1[Nb] b	11	1	('drop', 'bB'  , (3, 2))	-1033	10	1
2b2k/5p/6/6/P1r3/1KNN2[br] b	11	1	((0, 2), (2, 4), None)	-1000000	7	1
2b2k/5p/6/6/P1r3/1KNN2[br] w	10	1	((5, 1), (4, 2), None)	-1124	6	1
2b2k/5p/6/6/P1r3/1KNN2[br] w	10	2	((5, 3), (3, 4), None)	-2703	6	1
2b2k/5p/6/6/P1r3/1KNN2[br] w	10	3	((5, 2), (3, 3), None)	-2719	6	1
2b2k/5p/6/6/P1r3/1KNN2[br] w	10	4	((5, 3), (4, 1), None)	-2735	6	1
2b2k/5p/6/6/P1r3/1KNN2[br] w	10	5	((4, 0), (3, 0), None)	-2795	6	1
2b2k/5p/6/6/P1r3/1KNN2[br] w	10	6	((5, 3), (3, 2), None)	-4391	6	1
2b2k/5p/6/6/P1r3/K1NN2[br] b	11	1	((4, 2), (5, 2), None)	-1000000	3	1
2b2k/5p/6/6/P2K2/2NB1r[Nr] b	11	1	('drop', 'bR'  , (2, 3))	-1021	10	1
2b2k/5p/6/6/P2N2/1K1Br1[Nr] b	9	1	((5, 4), (5, 3), None)	-2843	10	1
2b2k/5p/6/6/P2N2/KB1rr1[N] b	11	1	((5, 3), (4, 3), None)	-1000000	9	1
2b2k/5p/6/6/P2N2/KB2r1[Nr] b	9	1	((0, 2), (1, 3), None)	-1098	10	1
2b2k/5p/6/6/P2NN1/KB1rr1[] b	11	1	((5, 3), (4, 3), None)	-1000000	7	1
2b2k/5p/6/6/P2Nr1/K1N3[br] b	9	1	('drop', 'bB'  , (3, 2))	-1000000	3	1
2b2k/5p/6/6/P2R2/K1NB1r[N] w	8	1	('drop', 'wN'  , (3, 4))	1386	10	1
2b2k/5p/6/6/P2R2/K1NBr1[N] w	8	1	((5, 2), (3, 3), None)	1481	10	1
2b2k/5p/6/6/P2R2/K1Nr2[Nb] w	8	1	((4, 3), (5, 3), None)	1672	10	1
2b2k/5p/6/6/P2R2/K2Br1[Nn] b	11	1	((0, 2), (3, 5), None)	-683	10	1
2b2k/5p/6/6/P2Rn1/K1N3[Rb] b	11	1	('drop', 'bB'  , (3, 2))	-114	10	1
2b2k/5p/6/6/P2Rr1/K1NB2[N] w	8	1	((5, 2), (4, 4), None)	1000000	5	1
2b2k/5p/6/6/P2Rr1/K5[Nnb] b	9	1	((4, 4), (4, 3), None)	-1000000	4	1
2b2k/5p/6/6/P3B1/KnN1r1[r] b	9	1	((5, 4), (5, 2), None)	-1000000	7	1
2b2k/5p/6/6/P3N1/K1N1r1[Rb] b	11	1	('drop', 'bB'  , (1, 4))	-1021	10	1
2b2k/5p/6/6/P3N1/K1R1r1[Nb] b	11	1	('drop', 'bB'  , (1, 4))	-1527	10	1
2b2k/5p/6/6/P3N1/K3r1[NRb] w	10	1	((4, 4), (5, 2), None)	-628	6	1
2b2k/5p/6/6/P3N1/K3r1[NRb] w	10	2	('drop', 'wN'  , (5, 2))	-761	6	1
2b2k/5p/6/6/P3N1/K3r1[NRb] w	10	3	((5, 0), (4, 1), None)	-1381	6	1
2b2k/5p/6/6/P3N1/K3r1[NRb] w	10	4	('drop', 'wR'  , (5, 2))	-1521	6	1
2b2k/5p/6/6/P3N1/K3r1[NRb] w	10	5	('drop', 'wR'  , (5, 1))	-1522	6	1
2b2k/5p/6/6/P3N1/K3r1[NRb] w	10	6	('drop', 'wN'  , (5, 1))	-1965	6	1
2b2k/5p/6/6/P3N1/K5[NRbr] b	9	1	('drop', 'bR'  , (5, 4))	-1050	10	1
2b2k/5p/6/6/P3N1/KB2r1[Nr] b	11	1	('drop', 'bR'  , (0, 1))	-1921	10	1
2b2k/5p/6/6/P3N1/KBNrr1[] b	11	1	((0, 2), (1, 1), None)	-1255	10	1
2b2k/5p/6/6/P3N1/KN2r1[Rb] b	11	1	('drop', 'bB'  , (1, 4))	-1000000	8	1
2b2k/5p/6/6/P3N1/KR2r1[Nb] b	11	1	('drop', 'bB'  , (1, 4))	-2501	10	1
2b2k/5p/6/6/P3r1/1KN3[Nbr] b	9	1	((0, 2), (2, 4), None)	-1000000	5	1
2b2k/5p/6/6/P3r1/K1N1N1[br] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
2b2k/5p/6/6/P3r1/K1N2N[br] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
2b2k/5p/6/6/P3r1/K1NN2[br] b	9	1	('drop', 'bB'  , (2, 3))	-1000000	3	1
2b2k/5p/6/6/P3r1/K2R2[Nnb] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
